Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,444.000000,449.000000,439.225006,446.450012,404.280914,1894566
2017-08-01,444.500000,449.000000,439.000000,442.100006,400.341766,2664554
2017-08-02,444.000000,446.500000,438.450012,441.000000,399.345642,1658180
2017-08-03,441.100006,442.200012,435.475006,437.875000,397.416962,2544010
2017-08-04,437.500000,447.250000,436.549988,445.325012,404.178741,1141420
2017-08-07,445.000000,447.350006,440.700012,443.000000,402.068481,1646970
2017-08-08,441.299988,442.700012,438.049988,441.000000,400.253296,1731896
2017-08-09,435.500000,442.325012,435.500000,439.375000,398.778473,1071692
2017-08-10,436.524994,443.000000,435.399994,441.450012,400.661682,1693074
2017-08-11,439.049988,444.600006,432.274994,436.149994,395.851349,3384860
2017-08-14,436.500000,439.200012,428.024994,430.049988,390.314941,808098
2017-08-16,432.000000,434.325012,425.500000,432.250000,392.311707,2250010
2017-08-17,436.200012,437.549988,430.375000,435.700012,395.443024,1602350
2017-08-18,436.924988,442.350006,431.774994,438.125000,397.643921,2129910
2017-08-21,438.875000,442.500000,435.100006,437.024994,396.645599,1339674
2017-08-22,440.500000,443.125000,436.649994,437.924988,397.462372,1506462
2017-08-23,438.950012,441.475006,431.500000,440.000000,399.345642,1509778
2017-08-24,442.000000,442.000000,433.000000,433.750000,393.673157,1624246
2017-08-28,434.149994,437.274994,428.924988,433.825012,393.741272,1792508
2017-08-29,434.000000,434.799988,425.000000,426.274994,386.888824,1945588
2017-08-30,428.500000,429.000000,421.625000,424.600006,385.368591,3387850
2017-08-31,425.000000,435.200012,420.100006,432.649994,392.674774,5019082
2017-09-01,431.799988,442.500000,427.500000,432.875000,392.878967,1600518
2017-09-04,436.950012,436.950012,428.500000,430.299988,390.541870,1149942
2017-09-05,429.000000,431.250000,424.200012,429.950012,390.224304,1095614
2017-09-06,431.500000,436.000000,423.100006,425.524994,386.208099,1658772
2017-09-07,428.700012,431.850006,425.625000,429.649994,389.952026,2949318
2017-09-08,433.450012,434.750000,428.049988,429.750000,390.042755,2320104
2017-09-11,431.000000,433.649994,426.000000,430.350006,390.587311,1439608
2017-09-12,433.500000,433.500000,428.075012,432.024994,392.107513,1698738
