"Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM"
"12.5,9429,7.34,76.28,High"
"13.69,11509,8.57,77.55,High"
"12.84,12679,7.66,75.79,High"
"12.44,10294,7.11,74.84,High"
"12.35,9669,6.99,74.51,Normal"
"12.12,10519,7.3,74.61,High"
"12.94,10506,7.48,76.27,High"
"13.24,11272,8.76,76.68,High"
"12.76,10536,7.79,75.91,High"
"13.32,10248,7.86,75.46,High"
"12.98,12070,08.03,75.79,High"
"12.32,9408,7.25,75.64,Normal"
"12.96,11608,7.46,74.48,High"
"12.13,9524,6.88,74.74,Normal"
"12.42,10409,7.17,73.74,High"
"11.96,8573,6.45,73.53,Normal"
"12.89,9700,6.99,71.72,Normal"
"12.05,10152,6.22,69.54,Normal"
"14.15,12349,10.62,76.93,High"
"14.88,14911,10.9,77.32,Very-High"
"15.42,15843,10.66,77.55,Very-High"
"15.53,15425,10.78,77.51,Very-High"
"12.85,12598,9.18,74.44,High"
"13.07,13143,8.73,74.54,High"
"15.64,14111,9.64,75.04,Very-High"
"14.27,10069,09.02,75.27,High"
"15.38,15545,9.57,73.89,Very-High"
"12.98,9505,7.3,74.19,High"
"16.74,16060,10.92,74.92,Very-High"
"17.6,18801,11.72,74.76,Very-High"
"13.36,11707,7.88,71.38,High"
"12.65,8887,7.61,72.07,Normal"
"13.74,9851,7.55,72.85,High"
"12.47,9743,7.56,73.86,High"
"13.32,10807,8.34,74.16,High"
"12.63,10757,7.5,73.61,High"
"13.44,11127,08.08,72.65,High"
"13.24,10163,7.43,72.61,High"
"11.88,9203,6.67,70.21,Normal"
"13.43,9410,6.49,69.28,Normal"
"13.1,12217,7.42,70.72,High"
"13.29,10690,5.94,66.89,Normal"
"13.16,9996,6.62,69.24,Normal"
"12.36,10969,6.12,67.36,Normal"
"12.58,10297,7.41,70.25,Normal"
"14.94,14578,10.72,74.06,Very-High"
"12.95,12844,8.64,72.59,High"
"13.57,11394,8.55,72.49,High"
"12.87,12172,7.78,71.6,High"
"13.17,11658,7.82,71.5,High"
"14.04,11833,8.36,72.65,High"
"12.83,11459,7.26,72.41,High"
"12.68,10221,7.38,71.72,Normal"
"12.22,10380,7.18,71.56,Normal"
"13.77,11510,08.04,72.49,High"
"13.77,13280,9.56,72.67,High"
"11.73,8673,5.96,70.22,Normal"
"12.38,8790,4.86,68.07,Normal"
"13.65,8804,6.7,67.67,Normal"
"13.33,9000,5.92,71.56,Normal"
"15.27,12359,10.15,74.04,High"
"14.33,13816,10.35,73.86,High"
"15.75,16663,10.41,73.36,Very-High"
"13.6,12245,8.95,70.35,High"
"13.63,13354,9.33,71.6,High"
"14.01,13610,10.47,73.39,High"
"14.41,16095,11.37,72.83,Very-High"
"14.81,17862,10.5,74.18,Very-High"
"14.16,12887,9.31,72.65,High"
"13.02,12033,8.93,70.02,High"
