nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;159.1;"KALIMANTAN TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;150.4;"KALIMANTAN SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;188.7;"KALIMANTAN TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;-;"KALIMANTAN UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;171.1;"SULAWESI UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;490.3;"SULAWESI TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;930.6;"SULAWESI SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;434.1;"SULAWESI TENGGARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;211.2;GORONTALO
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;134.8;"SULAWESI BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;355.6;MALUKU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;98.2;"MALUKU UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;255.8;"PAPUA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;758;PAPUA
